Region_name_en,Region_Name_fr,Week_Number,Begin_of_Week_Date,End_of_Week_Date,Activity_Level,PR_HRUID
Region 3,Région de santé publique 3,202343,2023-10-22,2023-10-28,3,1303
Region 4,Région de santé publique 4,202343,2023-10-22,2023-10-28,1,1304
Region 5,Région de santé publique 5,202343,2023-10-22,2023-10-28,1,1305
Region 6,Région de santé publique 6,202343,2023-10-22,2023-10-28,1,1306
Region 7,Région de santé publique 7,202343,2023-10-22,2023-10-28,1,1307
Nord-est,Nord-est,202343,2023-10-22,2023-10-28,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202343,2023-10-22,2023-10-28,2,2412
Centre-du-Québec,Centre-du-Québec,202343,2023-10-22,2023-10-28,2,2404
Montréal et Laval,Montréal et Laval,202343,2023-10-22,2023-10-28,2,2413
Ouest-du-Québec,Ouest-du-Québec,202343,2023-10-22,2023-10-28,2,2414
Montérégie,Montérégie,202343,2023-10-22,2023-10-28,2,2416
Central East,Centre-Est,202343,2023-10-22,2023-10-28,3,3570
Central West,Centre-Ouest,202343,2023-10-22,2023-10-28,2,3527
Eastern,Est,202343,2023-10-22,2023-10-28,3,3551
North East,Nord-Est,202343,2023-10-22,2023-10-28,1,3547
North West,Nord-Ouest,202343,2023-10-22,2023-10-28,2,3549
South West,Sud-Ouest,202343,2023-10-22,2023-10-28,2,3531
Toronto,Toronto,202343,2023-10-22,2023-10-28,3,3595
North,Nord,202343,2023-10-22,2023-10-28,2,4708
Central,Centre,202343,2023-10-22,2023-10-28,2,4705
South,Sud,202343,2023-10-22,2023-10-28,2,4701
North Zone,Du nord,202343,2023-10-22,2023-10-28,2,4835
Edmonton,Edmonton,202343,2023-10-22,2023-10-28,2,4834
Central Zone,Centre,202343,2023-10-22,2023-10-28,2,4833
Calgary,Calgary,202343,2023-10-22,2023-10-28,3,4832
South Zone,Du sud,202343,2023-10-22,2023-10-28,2,4831
Interior,Intérieur,202343,2023-10-22,2023-10-28,2,5911
Fraser,Fraser,202343,2023-10-22,2023-10-28,2,5921
Vancouver Coastal,Vancouver Coastal,202343,2023-10-22,2023-10-28,2,5931
Vancouver Island,Île de Vancouver,202343,2023-10-22,2023-10-28,2,5941
Northern,Nord,202343,2023-10-22,2023-10-28,2,5951
Yukon,Yukon,202343,2023-10-22,2023-10-28,2,6001
North,Région nord des TNO,202343,2023-10-22,2023-10-28,1,6101
South,Région sud des TNO,202343,2023-10-22,2023-10-28,1,6103
Qikiqtaaluk,Qikiqtaaluk,202343,2023-10-22,2023-10-28,1,6204
Kivalliq,Kivalliq,202343,2023-10-22,2023-10-28,1,6205
Kitimeot,Kitimeot,202343,2023-10-22,2023-10-28,1,6208
Eastern,Est,202344,2023-10-29,2023-11-04,3,1011
Labrador-Grenfell,Grenfell Labrador,202344,2023-10-29,2023-11-04,1,1014
Central,Centre,202344,2023-10-29,2023-11-04,1,1012
Western,Ouest,202344,2023-10-29,2023-11-04,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202344,2023-10-29,2023-11-04,1,1103
Zone 1 - Western,Zone 1 - Ouest,202344,2023-10-29,2023-11-04,2,1211
Zone 2 - Northern,Zone 2 - Nord,202344,2023-10-29,2023-11-04,2,1234
Zone 3 - Eastern,Zone 3 - Est,202344,2023-10-29,2023-11-04,1,1247
Zone 4 - Central,Zone 4 - Centrale,202344,2023-10-29,2023-11-04,2,1269
Region 1,Région de santé publique 1,202344,2023-10-29,2023-11-04,2,1301
Region 2,Région de santé publique 2,202344,2023-10-29,2023-11-04,2,1302
Region 3,Région de santé publique 3,202344,2023-10-29,2023-11-04,1,1303
Region 4,Région de santé publique 4,202344,2023-10-29,2023-11-04,1,1304
Region 5,Région de santé publique 5,202344,2023-10-29,2023-11-04,1,1305
Region 6,Région de santé publique 6,202344,2023-10-29,2023-11-04,1,1306
Region 7,Région de santé publique 7,202344,2023-10-29,2023-11-04,1,1307
Nord-est,Nord-est,202344,2023-10-29,2023-11-04,1,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202344,2023-10-29,2023-11-04,2,2412
Centre-du-Québec,Centre-du-Québec,202344,2023-10-29,2023-11-04,2,2404
Montréal et Laval,Montréal et Laval,202344,2023-10-29,2023-11-04,2,2413
Ouest-du-Québec,Ouest-du-Québec,202344,2023-10-29,2023-11-04,2,2414
Montérégie,Montérégie,202344,2023-10-29,2023-11-04,2,2416
Central East,Centre-Est,202344,2023-10-29,2023-11-04,3,3570
Central West,Centre-Ouest,202344,2023-10-29,2023-11-04,2,3527
Eastern,Est,202344,2023-10-29,2023-11-04,2,3551
North East,Nord-Est,202344,2023-10-29,2023-11-04,2,3547
North West,Nord-Ouest,202344,2023-10-29,2023-11-04,1,3549
South West,Sud-Ouest,202344,2023-10-29,2023-11-04,2,3531
Toronto,Toronto,202344,2023-10-29,2023-11-04,3,3595
North,Nord,202344,2023-10-29,2023-11-04,2,4708
Central,Centre,202344,2023-10-29,2023-11-04,2,4705
South,Sud,202344,2023-10-29,2023-11-04,2,4701
North Zone,Du nord,202344,2023-10-29,2023-11-04,2,4835
Edmonton,Edmonton,202344,2023-10-29,2023-11-04,3,4834
Central Zone,Centre,202344,2023-10-29,2023-11-04,2,4833
Calgary,Calgary,202344,2023-10-29,2023-11-04,3,4832
South Zone,Du sud,202344,2023-10-29,2023-11-04,2,4831
Interior,Intérieur,202344,2023-10-29,2023-11-04,2,5911
Fraser,Fraser,202344,2023-10-29,2023-11-04,2,5921
Vancouver Coastal,Vancouver Coastal,202344,2023-10-29,2023-11-04,3,5931
Vancouver Island,Île de Vancouver,202344,2023-10-29,2023-11-04,2,5941
Northern,Nord,202344,2023-10-29,2023-11-04,2,5951
Yukon,Yukon,202344,2023-10-29,2023-11-04,2,6001
North,Région nord des TNO,202344,2023-10-29,2023-11-04,1,6101
South,Région sud des TNO,202344,2023-10-29,2023-11-04,2,6103
Qikiqtaaluk,Qikiqtaaluk,202344,2023-10-29,2023-11-04,2,6204
Kivalliq,Kivalliq,202344,2023-10-29,2023-11-04,1,6205
Kitimeot,Kitimeot,202344,2023-10-29,2023-11-04,1,6208
Eastern,Est,202345,2023-11-05,2023-11-11,3,1011
Labrador-Grenfell,Grenfell Labrador,202345,2023-11-05,2023-11-11,1,1014
Central,Centre,202345,2023-11-05,2023-11-11,3,1012
Western,Ouest,202345,2023-11-05,2023-11-11,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202345,2023-11-05,2023-11-11,2,1103
Zone 1 - Western,Zone 1 - Ouest,202345,2023-11-05,2023-11-11,2,1211
Zone 2 - Northern,Zone 2 - Nord,202345,2023-11-05,2023-11-11,3,1234
Zone 3 - Eastern,Zone 3 - Est,202345,2023-11-05,2023-11-11,2,1247
Zone 4 - Central,Zone 4 - Centrale,202345,2023-11-05,2023-11-11,2,1269
Region 1,Région de santé publique 1,202345,2023-11-05,2023-11-11,2,1301
Region 2,Région de santé publique 2,202345,2023-11-05,2023-11-11,1,1302
Region 3,Région de santé publique 3,202345,2023-11-05,2023-11-11,1,1303
Region 4,Région de santé publique 4,202345,2023-11-05,2023-11-11,1,1304
Region 5,Région de santé publique 5,202345,2023-11-05,2023-11-11,1,1305
Region 6,Région de santé publique 6,202345,2023-11-05,2023-11-11,1,1306
Region 7,Région de santé publique 7,202345,2023-11-05,2023-11-11,2,1307
Nord-est,Nord-est,202345,2023-11-05,2023-11-11,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202345,2023-11-05,2023-11-11,2,2412
Centre-du-Québec,Centre-du-Québec,202345,2023-11-05,2023-11-11,2,2404
Montréal et Laval,Montréal et Laval,202345,2023-11-05,2023-11-11,2,2413
Ouest-du-Québec,Ouest-du-Québec,202345,2023-11-05,2023-11-11,2,2414
Montérégie,Montérégie,202345,2023-11-05,2023-11-11,2,2416
Central East,Centre-Est,202345,2023-11-05,2023-11-11,3,3570
Central West,Centre-Ouest,202345,2023-11-05,2023-11-11,3,3527
Eastern,Est,202345,2023-11-05,2023-11-11,3,3551
North East,Nord-Est,202345,2023-11-05,2023-11-11,3,3547
North West,Nord-Ouest,202345,2023-11-05,2023-11-11,2,3549
South West,Sud-Ouest,202345,2023-11-05,2023-11-11,2,3531
Toronto,Toronto,202345,2023-11-05,2023-11-11,3,3595
North,Nord,202345,2023-11-05,2023-11-11,2,4708
Central,Centre,202345,2023-11-05,2023-11-11,3,4705
South,Sud,202345,2023-11-05,2023-11-11,3,4701
North Zone,Du nord,202345,2023-11-05,2023-11-11,2,4835
Edmonton,Edmonton,202345,2023-11-05,2023-11-11,2,4834
Central Zone,Centre,202345,2023-11-05,2023-11-11,2,4833
Calgary,Calgary,202345,2023-11-05,2023-11-11,3,4832
South Zone,Du sud,202345,2023-11-05,2023-11-11,2,4831
Interior,Intérieur,202345,2023-11-05,2023-11-11,2,5911
Fraser,Fraser,202345,2023-11-05,2023-11-11,2,5921
Vancouver Coastal,Vancouver Coastal,202345,2023-11-05,2023-11-11,3,5931
Vancouver Island,Île de Vancouver,202345,2023-11-05,2023-11-11,2,5941
Northern,Nord,202345,2023-11-05,2023-11-11,2,5951
Yukon,Yukon,202345,2023-11-05,2023-11-11,2,6001
North,Région nord des TNO,202345,2023-11-05,2023-11-11,1,6101
South,Région sud des TNO,202345,2023-11-05,2023-11-11,2,6103
Qikiqtaaluk,Qikiqtaaluk,202345,2023-11-05,2023-11-11,1,6204
Kivalliq,Kivalliq,202345,2023-11-05,2023-11-11,1,6205
Kitimeot,Kitimeot,202345,2023-11-05,2023-11-11,1,6208
Eastern,Est,202346,2023-11-12,2023-11-18,3,1011
Labrador-Grenfell,Grenfell Labrador,202346,2023-11-12,2023-11-18,1,1014
Central,Centre,202346,2023-11-12,2023-11-18,1,1012
Western,Ouest,202346,2023-11-12,2023-11-18,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202346,2023-11-12,2023-11-18,2,1103
Zone 1 - Western,Zone 1 - Ouest,202346,2023-11-12,2023-11-18,2,1211
Zone 2 - Northern,Zone 2 - Nord,202346,2023-11-12,2023-11-18,2,1234
Zone 3 - Eastern,Zone 3 - Est,202346,2023-11-12,2023-11-18,1,1247
Zone 4 - Central,Zone 4 - Centrale,202346,2023-11-12,2023-11-18,3,1269
Region 1,Région de santé publique 1,202346,2023-11-12,2023-11-18,2,1301
Region 2,Région de santé publique 2,202346,2023-11-12,2023-11-18,2,1302
Region 3,Région de santé publique 3,202346,2023-11-12,2023-11-18,3,1303
Region 4,Région de santé publique 4,202346,2023-11-12,2023-11-18,1,1304
Region 5,Région de santé publique 5,202346,2023-11-12,2023-11-18,1,1305
Region 6,Région de santé publique 6,202346,2023-11-12,2023-11-18,2,1306
Region 7,Région de santé publique 7,202346,2023-11-12,2023-11-18,3,1307
Nord-est,Nord-est,202346,2023-11-12,2023-11-18,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202346,2023-11-12,2023-11-18,2,2412
Centre-du-Québec,Centre-du-Québec,202346,2023-11-12,2023-11-18,2,2404
Montréal et Laval,Montréal et Laval,202346,2023-11-12,2023-11-18,2,2413
Ouest-du-Québec,Ouest-du-Québec,202346,2023-11-12,2023-11-18,2,2414
Montérégie,Montérégie,202346,2023-11-12,2023-11-18,2,2416
Central East,Centre-Est,202346,2023-11-12,2023-11-18,3,3570
Central West,Centre-Ouest,202346,2023-11-12,2023-11-18,3,3527
Eastern,Est,202346,2023-11-12,2023-11-18,3,3551
North East,Nord-Est,202346,2023-11-12,2023-11-18,3,3547
North West,Nord-Ouest,202346,2023-11-12,2023-11-18,2,3549
South West,Sud-Ouest,202346,2023-11-12,2023-11-18,2,3531
Toronto,Toronto,202346,2023-11-12,2023-11-18,3,3595
North,Nord,202346,2023-11-12,2023-11-18,2,4708
Central,Centre,202346,2023-11-12,2023-11-18,3,4705
South,Sud,202346,2023-11-12,2023-11-18,3,4701
North Zone,Du nord,202346,2023-11-12,2023-11-18,4,4835
Edmonton,Edmonton,202346,2023-11-12,2023-11-18,2,4834
Central Zone,Centre,202346,2023-11-12,2023-11-18,3,4833
Calgary,Calgary,202346,2023-11-12,2023-11-18,3,4832
South Zone,Du sud,202346,2023-11-12,2023-11-18,2,4831
Interior,Intérieur,202346,2023-11-12,2023-11-18,2,5911
Fraser,Fraser,202346,2023-11-12,2023-11-18,2,5921
Vancouver Coastal,Vancouver Coastal,202346,2023-11-12,2023-11-18,2,5931
Vancouver Island,Île de Vancouver,202346,2023-11-12,2023-11-18,2,5941
Northern,Nord,202346,2023-11-12,2023-11-18,2,5951
Yukon,Yukon,202346,2023-11-12,2023-11-18,2,6001
North,Région nord des TNO,202346,2023-11-12,2023-11-18,1,6101
South,Région sud des TNO,202346,2023-11-12,2023-11-18,2,6103
Qikiqtaaluk,Qikiqtaaluk,202346,2023-11-12,2023-11-18,1,6204
Kivalliq,Kivalliq,202346,2023-11-12,2023-11-18,1,6205
Kitimeot,Kitimeot,202346,2023-11-12,2023-11-18,1,6208
Eastern,Est,202347,2023-11-19,2023-11-25,3,1011
Labrador-Grenfell,Grenfell Labrador,202347,2023-11-19,2023-11-25,1,1014
Central,Centre,202347,2023-11-19,2023-11-25,2,1012
Western,Ouest,202347,2023-11-19,2023-11-25,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202347,2023-11-19,2023-11-25,1,1103
Zone 1 - Western,Zone 1 - Ouest,202347,2023-11-19,2023-11-25,1,1211
Zone 2 - Northern,Zone 2 - Nord,202347,2023-11-19,2023-11-25,3,1234
Zone 3 - Eastern,Zone 3 - Est,202347,2023-11-19,2023-11-25,1,1247
Zone 4 - Central,Zone 4 - Centrale,202347,2023-11-19,2023-11-25,2,1269
Region 1,Région de santé publique 1,202347,2023-11-19,2023-11-25,2,1301
Region 2,Région de santé publique 2,202347,2023-11-19,2023-11-25,3,1302
Region 3,Région de santé publique 3,202347,2023-11-19,2023-11-25,1,1303
Region 4,Région de santé publique 4,202347,2023-11-19,2023-11-25,1,1304
Region 5,Région de santé publique 5,202347,2023-11-19,2023-11-25,2,1305
Region 6,Région de santé publique 6,202347,2023-11-19,2023-11-25,2,1306
Region 7,Région de santé publique 7,202347,2023-11-19,2023-11-25,2,1307
Nord-est,Nord-est,202347,2023-11-19,2023-11-25,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202347,2023-11-19,2023-11-25,2,2412
Centre-du-Québec,Centre-du-Québec,202347,2023-11-19,2023-11-25,2,2404
Montréal et Laval,Montréal et Laval,202347,2023-11-19,2023-11-25,2,2413
Ouest-du-Québec,Ouest-du-Québec,202347,2023-11-19,2023-11-25,2,2414
Montérégie,Montérégie,202347,2023-11-19,2023-11-25,2,2416
Central East,Centre-Est,202347,2023-11-19,2023-11-25,2,3570
Central West,Centre-Ouest,202347,2023-11-19,2023-11-25,3,3527
Eastern,Est,202347,2023-11-19,2023-11-25,3,3551
North East,Nord-Est,202347,2023-11-19,2023-11-25,3,3547
North West,Nord-Ouest,202347,2023-11-19,2023-11-25,2,3549
South West,Sud-Ouest,202347,2023-11-19,2023-11-25,2,3531
Toronto,Toronto,202347,2023-11-19,2023-11-25,3,3595
North,Nord,202347,2023-11-19,2023-11-25,3,4708
Central,Centre,202347,2023-11-19,2023-11-25,2,4705
South,Sud,202347,2023-11-19,2023-11-25,3,4701
North Zone,Du nord,202347,2023-11-19,2023-11-25,4,4835
Edmonton,Edmonton,202347,2023-11-19,2023-11-25,3,4834
Central Zone,Centre,202347,2023-11-19,2023-11-25,4,4833
Calgary,Calgary,202347,2023-11-19,2023-11-25,3,4832
South Zone,Du sud,202347,2023-11-19,2023-11-25,2,4831
Interior,Intérieur,202347,2023-11-19,2023-11-25,2,5911
Fraser,Fraser,202347,2023-11-19,2023-11-25,2,5921
Vancouver Coastal,Vancouver Coastal,202347,2023-11-19,2023-11-25,2,5931
Vancouver Island,Île de Vancouver,202347,2023-11-19,2023-11-25,2,5941
Northern,Nord,202347,2023-11-19,2023-11-25,2,5951
Yukon,Yukon,202347,2023-11-19,2023-11-25,2,6001
North,Région nord des TNO,202347,2023-11-19,2023-11-25,1,6101
South,Région sud des TNO,202347,2023-11-19,2023-11-25,2,6103
Qikiqtaaluk,Qikiqtaaluk,202347,2023-11-19,2023-11-25,2,6204
Kivalliq,Kivalliq,202347,2023-11-19,2023-11-25,2,6205
Kitimeot,Kitimeot,202347,2023-11-19,2023-11-25,1,6208
Eastern,Est,202348,2023-11-26,2023-12-02,3,1011
Labrador-Grenfell,Grenfell Labrador,202348,2023-11-26,2023-12-02,1,1014
Central,Centre,202348,2023-11-26,2023-12-02,2,1012
Western,Ouest,202348,2023-11-26,2023-12-02,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202348,2023-11-26,2023-12-02,2,1103
Zone 1 - Western,Zone 1 - Ouest,202348,2023-11-26,2023-12-02,2,1211
Zone 2 - Northern,Zone 2 - Nord,202348,2023-11-26,2023-12-02,3,1234
Zone 3 - Eastern,Zone 3 - Est,202348,2023-11-26,2023-12-02,2,1247
Zone 4 - Central,Zone 4 - Centrale,202348,2023-11-26,2023-12-02,2,1269
Region 1,Région de santé publique 1,202348,2023-11-26,2023-12-02,2,1301
Region 2,Région de santé publique 2,202348,2023-11-26,2023-12-02,3,1302
Region 3,Région de santé publique 3,202348,2023-11-26,2023-12-02,3,1303
Region 4,Région de santé publique 4,202348,2023-11-26,2023-12-02,1,1304
Region 5,Région de santé publique 5,202348,2023-11-26,2023-12-02,2,1305
Region 6,Région de santé publique 6,202348,2023-11-26,2023-12-02,2,1306
Region 7,Région de santé publique 7,202348,2023-11-26,2023-12-02,3,1307
Nord-est,Nord-est,202348,2023-11-26,2023-12-02,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202348,2023-11-26,2023-12-02,2,2412
Centre-du-Québec,Centre-du-Québec,202348,2023-11-26,2023-12-02,2,2404
Montréal et Laval,Montréal et Laval,202348,2023-11-26,2023-12-02,2,2413
Ouest-du-Québec,Ouest-du-Québec,202348,2023-11-26,2023-12-02,2,2414
Montérégie,Montérégie,202348,2023-11-26,2023-12-02,2,2416
Central East,Centre-Est,202348,2023-11-26,2023-12-02,2,3570
Central West,Centre-Ouest,202348,2023-11-26,2023-12-02,3,3527
Eastern,Est,202348,2023-11-26,2023-12-02,3,3551
North East,Nord-Est,202348,2023-11-26,2023-12-02,2,3547
North West,Nord-Ouest,202348,2023-11-26,2023-12-02,2,3549
South West,Sud-Ouest,202348,2023-11-26,2023-12-02,3,3531
Toronto,Toronto,202348,2023-11-26,2023-12-02,3,3595
North,Nord,202348,2023-11-26,2023-12-02,3,4708
Central,Centre,202348,2023-11-26,2023-12-02,3,4705
South,Sud,202348,2023-11-26,2023-12-02,3,4701
North Zone,Du nord,202348,2023-11-26,2023-12-02,4,4835
Edmonton,Edmonton,202348,2023-11-26,2023-12-02,4,4834
Central Zone,Centre,202348,2023-11-26,2023-12-02,4,4833
Calgary,Calgary,202348,2023-11-26,2023-12-02,3,4832
South Zone,Du sud,202348,2023-11-26,2023-12-02,4,4831
Interior,Intérieur,202348,2023-11-26,2023-12-02,2,5911
Fraser,Fraser,202348,2023-11-26,2023-12-02,2,5921
Vancouver Coastal,Vancouver Coastal,202348,2023-11-26,2023-12-02,3,5931
Vancouver Island,Île de Vancouver,202348,2023-11-26,2023-12-02,3,5941
Northern,Nord,202348,2023-11-26,2023-12-02,3,5951
Yukon,Yukon,202348,2023-11-26,2023-12-02,2,6001
North,Région nord des TNO,202348,2023-11-26,2023-12-02,2,6101
South,Région sud des TNO,202348,2023-11-26,2023-12-02,2,6103
Qikiqtaaluk,Qikiqtaaluk,202348,2023-11-26,2023-12-02,2,6204
Kivalliq,Kivalliq,202348,2023-11-26,2023-12-02,2,6205
Kitimeot,Kitimeot,202348,2023-11-26,2023-12-02,1,6208
Eastern,Est,202349,2023-12-03,2023-12-09,3,1011
Labrador-Grenfell,Grenfell Labrador,202349,2023-12-03,2023-12-09,1,1014
Central,Centre,202349,2023-12-03,2023-12-09,3,1012
Western,Ouest,202349,2023-12-03,2023-12-09,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202349,2023-12-03,2023-12-09,2,1103
Zone 1 - Western,Zone 1 - Ouest,202349,2023-12-03,2023-12-09,2,1211
Zone 2 - Northern,Zone 2 - Nord,202349,2023-12-03,2023-12-09,3,1234
Zone 3 - Eastern,Zone 3 - Est,202349,2023-12-03,2023-12-09,2,1247
Zone 4 - Central,Zone 4 - Centrale,202349,2023-12-03,2023-12-09,2,1269
Region 1,Région de santé publique 1,202349,2023-12-03,2023-12-09,2,1301
Region 2,Région de santé publique 2,202349,2023-12-03,2023-12-09,3,1302
Region 3,Région de santé publique 3,202349,2023-12-03,2023-12-09,3,1303
Region 4,Région de santé publique 4,202349,2023-12-03,2023-12-09,2,1304
Region 5,Région de santé publique 5,202349,2023-12-03,2023-12-09,2,1305
Region 6,Région de santé publique 6,202349,2023-12-03,2023-12-09,3,1306
Region 7,Région de santé publique 7,202349,2023-12-03,2023-12-09,3,1307
Nord-est,Nord-est,202349,2023-12-03,2023-12-09,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202349,2023-12-03,2023-12-09,2,2412
Centre-du-Québec,Centre-du-Québec,202349,2023-12-03,2023-12-09,2,2404
Montréal et Laval,Montréal et Laval,202349,2023-12-03,2023-12-09,2,2413
Ouest-du-Québec,Ouest-du-Québec,202349,2023-12-03,2023-12-09,2,2414
Montérégie,Montérégie,202349,2023-12-03,2023-12-09,2,2416
Central East,Centre-Est,202349,2023-12-03,2023-12-09,3,3570
Central West,Centre-Ouest,202349,2023-12-03,2023-12-09,3,3527
Eastern,Est,202349,2023-12-03,2023-12-09,3,3551
North East,Nord-Est,202349,2023-12-03,2023-12-09,3,3547
North West,Nord-Ouest,202349,2023-12-03,2023-12-09,3,3549
South West,Sud-Ouest,202349,2023-12-03,2023-12-09,3,3531
Toronto,Toronto,202349,2023-12-03,2023-12-09,3,3595
North,Nord,202349,2023-12-03,2023-12-09,2,4708
Central,Centre,202349,2023-12-03,2023-12-09,3,4705
South,Sud,202349,2023-12-03,2023-12-09,3,4701
North Zone,Du nord,202349,2023-12-03,2023-12-09,4,4835
Edmonton,Edmonton,202349,2023-12-03,2023-12-09,4,4834
Central Zone,Centre,202349,2023-12-03,2023-12-09,4,4833
Calgary,Calgary,202349,2023-12-03,2023-12-09,3,4832
South Zone,Du sud,202349,2023-12-03,2023-12-09,4,4831
Interior,Intérieur,202349,2023-12-03,2023-12-09,2,5911
Fraser,Fraser,202349,2023-12-03,2023-12-09,3,5921
Vancouver Coastal,Vancouver Coastal,202349,2023-12-03,2023-12-09,4,5931
Vancouver Island,Île de Vancouver,202349,2023-12-03,2023-12-09,2,5941
Northern,Nord,202349,2023-12-03,2023-12-09,2,5951
Yukon,Yukon,202349,2023-12-03,2023-12-09,2,6001
North,Région nord des TNO,202349,2023-12-03,2023-12-09,2,6101
South,Région sud des TNO,202349,2023-12-03,2023-12-09,2,6103
Qikiqtaaluk,Qikiqtaaluk,202349,2023-12-03,2023-12-09,2,6204
Kivalliq,Kivalliq,202349,2023-12-03,2023-12-09,2,6205
Kitimeot,Kitimeot,202349,2023-12-03,2023-12-09,2,6208
Eastern,Est,202350,2023-12-10,2023-12-16,3,1011
Labrador-Grenfell,Grenfell Labrador,202350,2023-12-10,2023-12-16,2,1014
Central,Centre,202350,2023-12-10,2023-12-16,3,1012
Western,Ouest,202350,2023-12-10,2023-12-16,2,1013
Prince Edward Island,Île-du-Prince-Édouard,202350,2023-12-10,2023-12-16,2,1103
Zone 1 - Western,Zone 1 - Ouest,202350,2023-12-10,2023-12-16,2,1211
Zone 2 - Northern,Zone 2 - Nord,202350,2023-12-10,2023-12-16,3,1234
Zone 3 - Eastern,Zone 3 - Est,202350,2023-12-10,2023-12-16,2,1247
Zone 4 - Central,Zone 4 - Centrale,202350,2023-12-10,2023-12-16,2,1269
Region 1,Région de santé publique 1,202350,2023-12-10,2023-12-16,2,1301
Region 2,Région de santé publique 2,202350,2023-12-10,2023-12-16,3,1302
Region 3,Région de santé publique 3,202350,2023-12-10,2023-12-16,3,1303
Region 4,Région de santé publique 4,202350,2023-12-10,2023-12-16,2,1304
Region 5,Région de santé publique 5,202350,2023-12-10,2023-12-16,2,1305
Region 6,Région de santé publique 6,202350,2023-12-10,2023-12-16,3,1306
Region 7,Région de santé publique 7,202350,2023-12-10,2023-12-16,3,1307
Nord-est,Nord-est,202350,2023-12-10,2023-12-16,2,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202350,2023-12-10,2023-12-16,2,2412
Centre-du-Québec,Centre-du-Québec,202350,2023-12-10,2023-12-16,2,2404
Montréal et Laval,Montréal et Laval,202350,2023-12-10,2023-12-16,2,2413
Ouest-du-Québec,Ouest-du-Québec,202350,2023-12-10,2023-12-16,2,2414
Montérégie,Montérégie,202350,2023-12-10,2023-12-16,2,2416
Central East,Centre-Est,202350,2023-12-10,2023-12-16,3,3570
Central West,Centre-Ouest,202350,2023-12-10,2023-12-16,3,3527
Eastern,Est,202350,2023-12-10,2023-12-16,3,3551
North East,Nord-Est,202350,2023-12-10,2023-12-16,3,3547
North West,Nord-Ouest,202350,2023-12-10,2023-12-16,3,3549
South West,Sud-Ouest,202350,2023-12-10,2023-12-16,3,3531
Toronto,Toronto,202350,2023-12-10,2023-12-16,3,3595
North,Nord,202350,2023-12-10,2023-12-16,3,4708
Central,Centre,202350,2023-12-10,2023-12-16,3,4705
South,Sud,202350,2023-12-10,2023-12-16,3,4701
North Zone,Du nord,202350,2023-12-10,2023-12-16,4,4835
Edmonton,Edmonton,202350,2023-12-10,2023-12-16,4,4834
Central Zone,Centre,202350,2023-12-10,2023-12-16,4,4833
Calgary,Calgary,202350,2023-12-10,2023-12-16,3,4832
South Zone,Du sud,202350,2023-12-10,2023-12-16,4,4831
Interior,Intérieur,202350,2023-12-10,2023-12-16,3,5911
Fraser,Fraser,202350,2023-12-10,2023-12-16,2,5921
Vancouver Coastal,Vancouver Coastal,202350,2023-12-10,2023-12-16,4,5931
Vancouver Island,Île de Vancouver,202350,2023-12-10,2023-12-16,2,5941
Northern,Nord,202350,2023-12-10,2023-12-16,2,5951
Yukon,Yukon,202350,2023-12-10,2023-12-16,2,6001
North,Région nord des TNO,202350,2023-12-10,2023-12-16,2,6101
South,Région sud des TNO,202350,2023-12-10,2023-12-16,2,6103
Qikiqtaaluk,Qikiqtaaluk,202350,2023-12-10,2023-12-16,2,6204
Kivalliq,Kivalliq,202350,2023-12-10,2023-12-16,2,6205
Kitimeot,Kitimeot,202350,2023-12-10,2023-12-16,2,6208
Eastern,Est,202351,2023-12-17,2023-12-23,3,1011
Labrador-Grenfell,Grenfell Labrador,202351,2023-12-17,2023-12-23,2,1014
Prince Edward Island,Île-du-Prince-Édouard,202351,2023-12-17,2023-12-23,3,1103
Zone 1 - Western,Zone 1 - Ouest,202351,2023-12-17,2023-12-23,2,1211
Zone 2 - Northern,Zone 2 - Nord,202351,2023-12-17,2023-12-23,2,1234
Zone 3 - Eastern,Zone 3 - Est,202351,2023-12-17,2023-12-23,2,1247
Zone 4 - Central,Zone 4 - Centrale,202351,2023-12-17,2023-12-23,2,1269
Region 1,Région de santé publique 1,202351,2023-12-17,2023-12-23,2,1301
Region 2,Région de santé publique 2,202351,2023-12-17,2023-12-23,2,1302
Region 3,Région de santé publique 3,202351,2023-12-17,2023-12-23,3,1303
Region 4,Région de santé publique 4,202351,2023-12-17,2023-12-23,2,1304
Region 5,Région de santé publique 5,202351,2023-12-17,2023-12-23,3,1305
Region 6,Région de santé publique 6,202351,2023-12-17,2023-12-23,2,1306
